rank,total_profit,RE_THRESHOLD,DRIFT_EXTRAP,LAM_MAKE_WIDTH,LAM_DRIFT_LEAN
1,20686,0.7,5,4,0.3
2,20642,0.7,8,4,0.3
3,20546,0.7,5,4,0.5
4,20536,0.3,3,4,0.5
5,20386,0.5,3,4,0.5
6,20375,0.5,5,3,0.5
7,20372,0.5,5,4,0.5
8,20346,0.7,3,4,0.8
9,20334,0.7,3,4,0.5
10,20319,0.5,3,4,0.8
11,20310,0.3,5,4,0.3
12,20284,0.5,8,4,0.3
13,20280,0.5,5,4,0.8
14,20278,0.5,5,4,0.3
15,20272,0.7,5,4,0.8
16,20248,0.7,8,4,0.5
17,20196,1.0,5,4,0.5
18,20158,0.7,3,4,0.3
19,20158,1.0,8,4,0.3
20,20144,1.0,5,4,0.3
21,20120,0.3,5,4,0.8
22,20106,1.0,3,4,0.3
23,20088,0.3,3,4,0.8
24,20052,0.3,5,4,0.5
25,20050,0.7,5,3,0.5
26,20038,0.3,8,4,0.3
27,20030,1.0,3,4,0.8
28,19984,0.5,8,3,0.5
29,19964,1.0,3,4,0.5
30,19952,1.0,8,4,0.5
31,19921,0.3,5,3,0.5
32,19900,1.0,3,3,0.5
33,19896,1.0,5,4,0.8
34,19894,0.5,8,4,0.5
35,19876,1.0,5,3,0.5
36,19854,0.5,3,3,0.5
37,19844,0.3,3,4,0.3
38,19828,0.5,3,4,0.3
39,19780,0.7,3,3,0.5
40,19755,0.3,5,3,0.3
41,19681,0.3,3,3,0.5
42,19670,0.3,8,4,0.5
43,19658,1.0,8,4,0.8
44,19644,0.7,5,3,0.3
45,19628,0.7,8,3,0.3
46,19598,0.7,8,4,0.8
47,19593,0.5,5,3,0.3
48,19575,0.3,8,4,0.8
49,19540,0.3,8,3,0.3
50,19502,1.0,8,3,0.3
51,19477,0.5,8,3,0.3
52,19475,0.5,8,4,0.8
53,19426,1.0,5,3,0.3
54,19374,0.7,8,3,0.5
55,19370,1.0,3,3,0.3
56,19356,1.0,8,3,0.5
57,19336,0.7,3,3,0.3
58,19315,0.3,3,3,0.3
59,19237,0.3,8,3,0.5
60,19152,1.0,5,2,0.3
61,19146,0.7,5,2,0.3
62,19136,0.5,3,3,0.3
63,19126,1.0,5,3,0.8
64,19026,0.5,5,3,0.8
65,18978,0.7,3,3,0.8
66,18974,1.0,3,3,0.8
67,18954,0.7,5,3,0.8
68,18890,0.3,5,2,0.3
69,18866,1.0,3,2,0.5
70,18860,0.7,3,2,0.3
71,18832,0.5,5,2,0.3
72,18756,0.5,5,2,0.5
73,18740,0.5,8,2,0.3
74,18732,1.0,5,2,0.5
75,18732,1.0,8,3,0.8
76,18718,0.3,8,2,0.3
77,18612,1.0,3,2,0.3
78,18602,0.7,8,3,0.8
79,18587,0.5,3,2,0.3
80,18576,0.7,5,2,0.5
81,18515,0.5,3,2,0.5
82,18498,0.7,8,2,0.3
83,18496,0.5,3,3,0.8
84,18492,0.3,3,2,0.3
85,18476,0.3,5,3,0.8
86,18430,1.0,8,2,0.3
87,18368,0.7,3,2,0.5
88,18270,0.7,8,2,0.5
89,18253,0.3,3,3,0.8
90,18197,0.3,5,2,0.5
91,18195,0.5,8,3,0.8
92,18152,0.5,8,2,0.5
93,18112,1.0,8,2,0.5
94,18092,0.3,3,2,0.5
95,18034,0.3,8,3,0.8
96,17664,1.0,5,2,0.8
97,17618,1.0,3,2,0.8
98,17580,0.7,3,2,0.8
99,17468,0.3,8,2,0.5
100,17342,0.5,5,2,0.8
101,17282,1.0,8,2,0.8
102,17192,0.7,5,2,0.8
103,17145,0.5,3,2,0.8
104,17036,0.7,8,2,0.8
105,16624,0.3,5,2,0.8
106,16576,0.5,8,2,0.8
107,16387,0.3,3,2,0.8
108,15931,0.3,8,2,0.8
