file,return_code,pnl,stdout_tail,stderr_tail
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,277871.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,635
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,944

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,620
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 88,022

Profit summary:
Round 1 day -2: 94,905
Round 1 day -1: 94,944
Round 1 day 0: 88,022
Total profit: 277,871",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,279720.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,349
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,658

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,163
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,565

Profit summary:
Round 1 day -2: 94,497
Round 1 day -1: 93,658
Round 1 day 0: 91,565
Total profit: 279,720",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,281522.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,574
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,883

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,618
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,020

Profit summary:
Round 1 day -2: 94,618
Round 1 day -1: 94,883
Round 1 day 0: 92,020
Total profit: 281,522",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,278474.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,484
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,793

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,475
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 90,877

Profit summary:
Round 1 day -2: 93,804
Round 1 day -1: 93,793
Round 1 day 0: 90,877
Total profit: 278,474",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,264845.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,249
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,558

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,444
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 87,846

Profit summary:
Round 1 day -2: 82,441
Round 1 day -1: 94,558
Round 1 day 0: 87,846
Total profit: 264,845",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,279406.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,900
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,209

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,077
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,479

Profit summary:
Round 1 day -2: 93,718
Round 1 day -1: 94,209
Round 1 day 0: 91,479
Total profit: 279,406",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,280552.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,259
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,568

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,658
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,060

Profit summary:
Round 1 day -2: 93,924
Round 1 day -1: 94,568
Round 1 day 0: 92,060
Total profit: 280,552",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,277228.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,053
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,362

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,518
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 90,920

Profit summary:
Round 1 day -2: 92,946
Round 1 day -1: 93,362
Round 1 day 0: 90,920
Total profit: 277,228",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,277712.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,507
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,816

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,633
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 88,035

Profit summary:
Round 1 day -2: 94,860
Round 1 day -1: 94,816
Round 1 day 0: 88,035
Total profit: 277,712",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,280413.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 14,043
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,352

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,178
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,580

Profit summary:
Round 1 day -2: 94,481
Round 1 day -1: 94,352
Round 1 day 0: 91,580
Total profit: 280,413",
